var_a,var_b
agg_science_technology_interest_engagement|CIE,agg_authoritarian_predisposition|CUL
agg_science_technology_interest_engagement|CIE,agg_perceived_political_influence_of_actors|CUL
agg_institutional_trust_in_science|CIE,agg_democratic_legitimacy_support|CUL
agg_institutional_trust_in_science|CIE,agg_institutional_trust_and_electoral_confidence|CUL
agg_institutional_trust_in_science|CIE,agg_political_efficacy_and_engagement|CUL
agg_institutional_trust_in_science|CIE,agg_authoritarian_predisposition|CUL
agg_institutional_trust_in_science|CIE,agg_perceived_political_influence_of_actors|CUL
agg_perceived_societal_value_of_science_technology|CIE,agg_democratic_legitimacy_support|CUL
agg_perceived_societal_value_of_science_technology|CIE,agg_institutional_trust_and_electoral_confidence|CUL
agg_perceived_societal_value_of_science_technology|CIE,agg_political_efficacy_and_engagement|CUL
agg_perceived_societal_value_of_science_technology|CIE,agg_authoritarian_predisposition|CUL
agg_perceived_societal_value_of_science_technology|CIE,agg_perceived_political_influence_of_actors|CUL
agg_household_science_cultural_capital|CIE,agg_democratic_legitimacy_support|CUL
agg_household_science_cultural_capital|CIE,agg_institutional_trust_and_electoral_confidence|CUL
agg_household_science_cultural_capital|CIE,agg_political_efficacy_and_engagement|CUL
agg_household_science_cultural_capital|CIE,agg_authoritarian_predisposition|CUL
agg_household_science_cultural_capital|CIE,agg_perceived_political_influence_of_actors|CUL
agg_science_technology_self_efficacy|CIE,agg_cultural_socialization_in_childhood|DEP
agg_science_technology_self_efficacy|CIE,agg_reading_engagement_and_literacy|DEP
agg_science_technology_self_efficacy|CIE,agg_cultural_identity_and_heritage|DEP
agg_science_technology_self_efficacy|CIE,agg_attitudes_toward_cultural_openness_and_foreign_influence|DEP
agg_science_technology_interest_engagement|CIE,agg_cultural_socialization_in_childhood|DEP
agg_science_technology_interest_engagement|CIE,agg_reading_engagement_and_literacy|DEP
agg_science_technology_interest_engagement|CIE,agg_cultural_identity_and_heritage|DEP
agg_science_technology_interest_engagement|CIE,agg_attitudes_toward_cultural_openness_and_foreign_influence|DEP
agg_institutional_trust_in_science|CIE,agg_cultural_socialization_in_childhood|DEP
agg_institutional_trust_in_science|CIE,agg_reading_engagement_and_literacy|DEP
agg_institutional_trust_in_science|CIE,agg_cultural_identity_and_heritage|DEP
agg_institutional_trust_in_science|CIE,agg_attitudes_toward_cultural_openness_and_foreign_influence|DEP
agg_perceived_societal_value_of_science_technology|CIE,agg_cultural_socialization_in_childhood|DEP
agg_perceived_societal_value_of_science_technology|CIE,agg_reading_engagement_and_literacy|DEP
agg_perceived_societal_value_of_science_technology|CIE,agg_cultural_identity_and_heritage|DEP
agg_perceived_societal_value_of_science_technology|CIE,agg_attitudes_toward_cultural_openness_and_foreign_influence|DEP
agg_household_science_cultural_capital|CIE,agg_cultural_socialization_in_childhood|DEP
agg_household_science_cultural_capital|CIE,agg_reading_engagement_and_literacy|DEP
agg_household_science_cultural_capital|CIE,agg_cultural_identity_and_heritage|DEP
agg_household_science_cultural_capital|CIE,agg_attitudes_toward_cultural_openness_and_foreign_influence|DEP
agg_science_technology_self_efficacy|CIE,agg_institutional_trust_justice|DER
agg_science_technology_self_efficacy|CIE,agg_authoritarian_security_tradeoff|DER
agg_science_technology_self_efficacy|CIE,agg_perceived_discrimination_social_exclusion|DER
agg_science_technology_self_efficacy|CIE,agg_rights_awareness_personal_experience|DER
agg_science_technology_self_efficacy|CIE,agg_social_rights_service_quality|DER
agg_science_technology_interest_engagement|CIE,agg_institutional_trust_justice|DER
agg_science_technology_interest_engagement|CIE,agg_authoritarian_security_tradeoff|DER
agg_science_technology_interest_engagement|CIE,agg_perceived_discrimination_social_exclusion|DER
agg_science_technology_interest_engagement|CIE,agg_rights_awareness_personal_experience|DER
agg_science_technology_interest_engagement|CIE,agg_social_rights_service_quality|DER
agg_institutional_trust_in_science|CIE,agg_institutional_trust_justice|DER
agg_institutional_trust_in_science|CIE,agg_authoritarian_security_tradeoff|DER
agg_institutional_trust_in_science|CIE,agg_perceived_discrimination_social_exclusion|DER
agg_institutional_trust_in_science|CIE,agg_rights_awareness_personal_experience|DER
agg_institutional_trust_in_science|CIE,agg_social_rights_service_quality|DER
agg_perceived_societal_value_of_science_technology|CIE,agg_institutional_trust_justice|DER
agg_perceived_societal_value_of_science_technology|CIE,agg_authoritarian_security_tradeoff|DER
agg_perceived_societal_value_of_science_technology|CIE,agg_perceived_discrimination_social_exclusion|DER
agg_perceived_societal_value_of_science_technology|CIE,agg_rights_awareness_personal_experience|DER
agg_perceived_societal_value_of_science_technology|CIE,agg_social_rights_service_quality|DER
agg_household_science_cultural_capital|CIE,agg_institutional_trust_justice|DER
agg_household_science_cultural_capital|CIE,agg_authoritarian_security_tradeoff|DER
agg_household_science_cultural_capital|CIE,agg_perceived_discrimination_social_exclusion|DER
agg_household_science_cultural_capital|CIE,agg_rights_awareness_personal_experience|DER
agg_household_science_cultural_capital|CIE,agg_social_rights_service_quality|DER
agg_science_technology_self_efficacy|CIE,agg_economic_wellbeing_perception|ECO
agg_science_technology_self_efficacy|CIE,agg_job_search_and_employment_precarity|ECO
agg_science_technology_self_efficacy|CIE,agg_labor_union_attitudes|ECO
agg_science_technology_interest_engagement|CIE,agg_economic_wellbeing_perception|ECO
agg_science_technology_interest_engagement|CIE,agg_job_search_and_employment_precarity|ECO
agg_science_technology_interest_engagement|CIE,agg_labor_union_attitudes|ECO
agg_institutional_trust_in_science|CIE,agg_economic_wellbeing_perception|ECO
agg_institutional_trust_in_science|CIE,agg_job_search_and_employment_precarity|ECO
agg_institutional_trust_in_science|CIE,agg_labor_union_attitudes|ECO
agg_perceived_societal_value_of_science_technology|CIE,agg_economic_wellbeing_perception|ECO
agg_perceived_societal_value_of_science_technology|CIE,agg_job_search_and_employment_precarity|ECO
agg_perceived_societal_value_of_science_technology|CIE,agg_labor_union_attitudes|ECO
agg_household_science_cultural_capital|CIE,agg_economic_wellbeing_perception|ECO
agg_household_science_cultural_capital|CIE,agg_job_search_and_employment_precarity|ECO
agg_household_science_cultural_capital|CIE,agg_labor_union_attitudes|ECO
agg_science_technology_self_efficacy|CIE,agg_perceived_education_quality|EDU
agg_science_technology_self_efficacy|CIE,agg_educational_returns_belief|EDU
agg_science_technology_self_efficacy|CIE,agg_school_environment_quality|EDU
agg_science_technology_self_efficacy|CIE,agg_digital_and_cultural_capital|EDU
agg_science_technology_interest_engagement|CIE,agg_perceived_education_quality|EDU
agg_science_technology_interest_engagement|CIE,agg_educational_returns_belief|EDU
agg_science_technology_interest_engagement|CIE,agg_school_environment_quality|EDU
agg_science_technology_interest_engagement|CIE,agg_digital_and_cultural_capital|EDU
agg_institutional_trust_in_science|CIE,agg_perceived_education_quality|EDU
agg_institutional_trust_in_science|CIE,agg_educational_returns_belief|EDU
agg_institutional_trust_in_science|CIE,agg_school_environment_quality|EDU
agg_institutional_trust_in_science|CIE,agg_digital_and_cultural_capital|EDU
agg_perceived_societal_value_of_science_technology|CIE,agg_perceived_education_quality|EDU
agg_perceived_societal_value_of_science_technology|CIE,agg_educational_returns_belief|EDU
agg_perceived_societal_value_of_science_technology|CIE,agg_school_environment_quality|EDU
agg_perceived_societal_value_of_science_technology|CIE,agg_digital_and_cultural_capital|EDU
agg_household_science_cultural_capital|CIE,agg_perceived_education_quality|EDU
agg_household_science_cultural_capital|CIE,agg_educational_returns_belief|EDU
agg_household_science_cultural_capital|CIE,agg_school_environment_quality|EDU
agg_household_science_cultural_capital|CIE,agg_digital_and_cultural_capital|EDU
agg_science_technology_self_efficacy|CIE,agg_ageism_and_negative_stereotypes|ENV
agg_science_technology_self_efficacy|CIE,agg_state_and_family_responsibility_for_elder_care|ENV
agg_science_technology_self_efficacy|CIE,agg_assessment_of_older_adult_wellbeing_and_social_conditions|ENV
agg_science_technology_interest_engagement|CIE,agg_ageism_and_negative_stereotypes|ENV
agg_science_technology_interest_engagement|CIE,agg_state_and_family_responsibility_for_elder_care|ENV
agg_science_technology_interest_engagement|CIE,agg_assessment_of_older_adult_wellbeing_and_social_conditions|ENV
agg_institutional_trust_in_science|CIE,agg_ageism_and_negative_stereotypes|ENV
agg_institutional_trust_in_science|CIE,agg_state_and_family_responsibility_for_elder_care|ENV
agg_institutional_trust_in_science|CIE,agg_assessment_of_older_adult_wellbeing_and_social_conditions|ENV
agg_perceived_societal_value_of_science_technology|CIE,agg_ageism_and_negative_stereotypes|ENV
agg_perceived_societal_value_of_science_technology|CIE,agg_state_and_family_responsibility_for_elder_care|ENV
agg_perceived_societal_value_of_science_technology|CIE,agg_assessment_of_older_adult_wellbeing_and_social_conditions|ENV
agg_household_science_cultural_capital|CIE,agg_ageism_and_negative_stereotypes|ENV
agg_household_science_cultural_capital|CIE,agg_state_and_family_responsibility_for_elder_care|ENV
agg_household_science_cultural_capital|CIE,agg_assessment_of_older_adult_wellbeing_and_social_conditions|ENV
agg_science_technology_self_efficacy|CIE,agg_family_cohesion_quality|FAM
agg_science_technology_self_efficacy|CIE,agg_ideal_family_normativity|FAM
agg_science_technology_self_efficacy|CIE,agg_intergenerational_obligations|FAM
agg_science_technology_self_efficacy|CIE,agg_conjugal_union_attitudes|FAM
agg_science_technology_self_efficacy|CIE,agg_family_value_transmission|FAM
agg_science_technology_interest_engagement|CIE,agg_family_cohesion_quality|FAM
agg_science_technology_interest_engagement|CIE,agg_ideal_family_normativity|FAM
agg_science_technology_interest_engagement|CIE,agg_intergenerational_obligations|FAM
agg_science_technology_interest_engagement|CIE,agg_conjugal_union_attitudes|FAM
agg_science_technology_interest_engagement|CIE,agg_family_value_transmission|FAM
agg_institutional_trust_in_science|CIE,agg_family_cohesion_quality|FAM
agg_institutional_trust_in_science|CIE,agg_ideal_family_normativity|FAM
agg_institutional_trust_in_science|CIE,agg_intergenerational_obligations|FAM
agg_institutional_trust_in_science|CIE,agg_conjugal_union_attitudes|FAM
agg_institutional_trust_in_science|CIE,agg_family_value_transmission|FAM
agg_perceived_societal_value_of_science_technology|CIE,agg_family_cohesion_quality|FAM
agg_perceived_societal_value_of_science_technology|CIE,agg_ideal_family_normativity|FAM
agg_perceived_societal_value_of_science_technology|CIE,agg_intergenerational_obligations|FAM
agg_perceived_societal_value_of_science_technology|CIE,agg_conjugal_union_attitudes|FAM
agg_perceived_societal_value_of_science_technology|CIE,agg_family_value_transmission|FAM
agg_household_science_cultural_capital|CIE,agg_family_cohesion_quality|FAM
agg_household_science_cultural_capital|CIE,agg_ideal_family_normativity|FAM
agg_household_science_cultural_capital|CIE,agg_intergenerational_obligations|FAM
agg_household_science_cultural_capital|CIE,agg_conjugal_union_attitudes|FAM
agg_household_science_cultural_capital|CIE,agg_family_value_transmission|FAM
agg_science_technology_self_efficacy|CIE,agg_perceived_representativeness|FED
agg_science_technology_self_efficacy|CIE,agg_fiscal_and_service_federalism_preferences|FED
agg_science_technology_self_efficacy|CIE,agg_legal_uniformity_preference|FED
agg_science_technology_self_efficacy|CIE,agg_security_governance_preferences|FED
agg_science_technology_self_efficacy|CIE,agg_political_interest_and_engagement|FED
agg_science_technology_interest_engagement|CIE,agg_perceived_representativeness|FED
agg_science_technology_interest_engagement|CIE,agg_fiscal_and_service_federalism_preferences|FED
agg_science_technology_interest_engagement|CIE,agg_legal_uniformity_preference|FED
agg_science_technology_interest_engagement|CIE,agg_security_governance_preferences|FED
agg_science_technology_interest_engagement|CIE,agg_political_interest_and_engagement|FED
agg_institutional_trust_in_science|CIE,agg_perceived_representativeness|FED
agg_institutional_trust_in_science|CIE,agg_fiscal_and_service_federalism_preferences|FED
agg_institutional_trust_in_science|CIE,agg_legal_uniformity_preference|FED
agg_institutional_trust_in_science|CIE,agg_security_governance_preferences|FED
agg_institutional_trust_in_science|CIE,agg_political_interest_and_engagement|FED
agg_perceived_societal_value_of_science_technology|CIE,agg_perceived_representativeness|FED
agg_perceived_societal_value_of_science_technology|CIE,agg_fiscal_and_service_federalism_preferences|FED
agg_perceived_societal_value_of_science_technology|CIE,agg_legal_uniformity_preference|FED
agg_perceived_societal_value_of_science_technology|CIE,agg_security_governance_preferences|FED
agg_perceived_societal_value_of_science_technology|CIE,agg_political_interest_and_engagement|FED
agg_household_science_cultural_capital|CIE,agg_perceived_representativeness|FED
agg_household_science_cultural_capital|CIE,agg_fiscal_and_service_federalism_preferences|FED
agg_household_science_cultural_capital|CIE,agg_legal_uniformity_preference|FED
agg_household_science_cultural_capital|CIE,agg_security_governance_preferences|FED
agg_household_science_cultural_capital|CIE,agg_political_interest_and_engagement|FED
agg_science_technology_self_efficacy|CIE,agg_traditional_gender_role_attitudes|GEN
agg_science_technology_self_efficacy|CIE,agg_tolerance_of_gender_based_violence|GEN
agg_science_technology_self_efficacy|CIE,agg_sexual_and_reproductive_attitudes|GEN
agg_science_technology_interest_engagement|CIE,agg_traditional_gender_role_attitudes|GEN
agg_science_technology_interest_engagement|CIE,agg_tolerance_of_gender_based_violence|GEN
agg_science_technology_interest_engagement|CIE,agg_sexual_and_reproductive_attitudes|GEN
agg_institutional_trust_in_science|CIE,agg_traditional_gender_role_attitudes|GEN
agg_institutional_trust_in_science|CIE,agg_tolerance_of_gender_based_violence|GEN
agg_institutional_trust_in_science|CIE,agg_sexual_and_reproductive_attitudes|GEN
agg_perceived_societal_value_of_science_technology|CIE,agg_traditional_gender_role_attitudes|GEN
agg_perceived_societal_value_of_science_technology|CIE,agg_tolerance_of_gender_based_violence|GEN
agg_perceived_societal_value_of_science_technology|CIE,agg_sexual_and_reproductive_attitudes|GEN
agg_household_science_cultural_capital|CIE,agg_traditional_gender_role_attitudes|GEN
agg_household_science_cultural_capital|CIE,agg_tolerance_of_gender_based_violence|GEN
agg_household_science_cultural_capital|CIE,agg_sexual_and_reproductive_attitudes|GEN
agg_science_technology_self_efficacy|CIE,agg_transnational_exposure|GLO
agg_science_technology_self_efficacy|CIE,agg_economic_globalization_attitudes|GLO
agg_science_technology_self_efficacy|CIE,agg_international_institutional_engagement|GLO
agg_science_technology_interest_engagement|CIE,agg_transnational_exposure|GLO
agg_science_technology_interest_engagement|CIE,agg_economic_globalization_attitudes|GLO
agg_science_technology_interest_engagement|CIE,agg_international_institutional_engagement|GLO
agg_institutional_trust_in_science|CIE,agg_transnational_exposure|GLO
agg_institutional_trust_in_science|CIE,agg_economic_globalization_attitudes|GLO
agg_institutional_trust_in_science|CIE,agg_international_institutional_engagement|GLO
agg_perceived_societal_value_of_science_technology|CIE,agg_transnational_exposure|GLO
agg_perceived_societal_value_of_science_technology|CIE,agg_economic_globalization_attitudes|GLO
agg_perceived_societal_value_of_science_technology|CIE,agg_international_institutional_engagement|GLO
agg_household_science_cultural_capital|CIE,agg_transnational_exposure|GLO
agg_household_science_cultural_capital|CIE,agg_economic_globalization_attitudes|GLO
agg_household_science_cultural_capital|CIE,agg_international_institutional_engagement|GLO
agg_science_technology_self_efficacy|CIE,agg_structural_housing_quality|HAB
agg_science_technology_self_efficacy|CIE,agg_basic_services_access|HAB
agg_science_technology_self_efficacy|CIE,agg_household_asset_endowment|HAB
agg_science_technology_self_efficacy|CIE,agg_housing_tenure_security|HAB
agg_science_technology_interest_engagement|CIE,agg_structural_housing_quality|HAB
agg_science_technology_interest_engagement|CIE,agg_basic_services_access|HAB
agg_science_technology_interest_engagement|CIE,agg_household_asset_endowment|HAB
agg_science_technology_interest_engagement|CIE,agg_housing_tenure_security|HAB
agg_institutional_trust_in_science|CIE,agg_structural_housing_quality|HAB
agg_institutional_trust_in_science|CIE,agg_basic_services_access|HAB
agg_institutional_trust_in_science|CIE,agg_household_asset_endowment|HAB
agg_institutional_trust_in_science|CIE,agg_housing_tenure_security|HAB
agg_perceived_societal_value_of_science_technology|CIE,agg_structural_housing_quality|HAB
agg_perceived_societal_value_of_science_technology|CIE,agg_basic_services_access|HAB
agg_perceived_societal_value_of_science_technology|CIE,agg_household_asset_endowment|HAB
agg_perceived_societal_value_of_science_technology|CIE,agg_housing_tenure_security|HAB
agg_household_science_cultural_capital|CIE,agg_structural_housing_quality|HAB
agg_household_science_cultural_capital|CIE,agg_basic_services_access|HAB
agg_household_science_cultural_capital|CIE,agg_household_asset_endowment|HAB
agg_household_science_cultural_capital|CIE,agg_housing_tenure_security|HAB
agg_science_technology_self_efficacy|CIE,agg_national_identity_pride|IDE
agg_science_technology_self_efficacy|CIE,agg_tolerance_social_diversity|IDE
agg_science_technology_self_efficacy|CIE,agg_personal_optimism_efficacy|IDE
agg_science_technology_self_efficacy|CIE,agg_moral_normative_conservatism|IDE
agg_science_technology_interest_engagement|CIE,agg_national_identity_pride|IDE
agg_science_technology_interest_engagement|CIE,agg_tolerance_social_diversity|IDE
agg_science_technology_interest_engagement|CIE,agg_personal_optimism_efficacy|IDE
agg_science_technology_interest_engagement|CIE,agg_moral_normative_conservatism|IDE
agg_institutional_trust_in_science|CIE,agg_national_identity_pride|IDE
agg_institutional_trust_in_science|CIE,agg_tolerance_social_diversity|IDE
agg_institutional_trust_in_science|CIE,agg_personal_optimism_efficacy|IDE
agg_institutional_trust_in_science|CIE,agg_moral_normative_conservatism|IDE
agg_perceived_societal_value_of_science_technology|CIE,agg_national_identity_pride|IDE
agg_perceived_societal_value_of_science_technology|CIE,agg_tolerance_social_diversity|IDE
agg_perceived_societal_value_of_science_technology|CIE,agg_personal_optimism_efficacy|IDE
agg_perceived_societal_value_of_science_technology|CIE,agg_moral_normative_conservatism|IDE
agg_household_science_cultural_capital|CIE,agg_national_identity_pride|IDE
agg_household_science_cultural_capital|CIE,agg_tolerance_social_diversity|IDE
agg_household_science_cultural_capital|CIE,agg_personal_optimism_efficacy|IDE
agg_household_science_cultural_capital|CIE,agg_moral_normative_conservatism|IDE
agg_science_technology_self_efficacy|CIE,agg_perceived_indigenous_discrimination|IND
agg_science_technology_self_efficacy|CIE,agg_social_distance_toward_indigenous_people|IND
agg_science_technology_self_efficacy|CIE,agg_national_economic_outlook|IND
agg_science_technology_interest_engagement|CIE,agg_perceived_indigenous_discrimination|IND
agg_science_technology_interest_engagement|CIE,agg_social_distance_toward_indigenous_people|IND
agg_science_technology_interest_engagement|CIE,agg_national_economic_outlook|IND
agg_institutional_trust_in_science|CIE,agg_perceived_indigenous_discrimination|IND
agg_institutional_trust_in_science|CIE,agg_social_distance_toward_indigenous_people|IND
agg_institutional_trust_in_science|CIE,agg_national_economic_outlook|IND
agg_perceived_societal_value_of_science_technology|CIE,agg_perceived_indigenous_discrimination|IND
agg_perceived_societal_value_of_science_technology|CIE,agg_social_distance_toward_indigenous_people|IND
agg_perceived_societal_value_of_science_technology|CIE,agg_national_economic_outlook|IND
agg_household_science_cultural_capital|CIE,agg_perceived_indigenous_discrimination|IND
agg_household_science_cultural_capital|CIE,agg_social_distance_toward_indigenous_people|IND
agg_household_science_cultural_capital|CIE,agg_national_economic_outlook|IND
agg_science_technology_self_efficacy|CIE,agg_judicial_institutional_trust|JUS
agg_science_technology_self_efficacy|CIE,agg_legal_cynicism_extrajudicial_justice|JUS
agg_science_technology_self_efficacy|CIE,agg_police_trust_and_legitimacy|JUS
agg_science_technology_self_efficacy|CIE,agg_law_compliance_motivation|JUS
agg_science_technology_interest_engagement|CIE,agg_judicial_institutional_trust|JUS
agg_science_technology_interest_engagement|CIE,agg_legal_cynicism_extrajudicial_justice|JUS
agg_science_technology_interest_engagement|CIE,agg_police_trust_and_legitimacy|JUS
agg_science_technology_interest_engagement|CIE,agg_law_compliance_motivation|JUS
agg_institutional_trust_in_science|CIE,agg_judicial_institutional_trust|JUS
agg_institutional_trust_in_science|CIE,agg_legal_cynicism_extrajudicial_justice|JUS
agg_institutional_trust_in_science|CIE,agg_police_trust_and_legitimacy|JUS
agg_institutional_trust_in_science|CIE,agg_law_compliance_motivation|JUS
agg_perceived_societal_value_of_science_technology|CIE,agg_judicial_institutional_trust|JUS
agg_perceived_societal_value_of_science_technology|CIE,agg_legal_cynicism_extrajudicial_justice|JUS
agg_perceived_societal_value_of_science_technology|CIE,agg_police_trust_and_legitimacy|JUS
agg_perceived_societal_value_of_science_technology|CIE,agg_law_compliance_motivation|JUS
agg_household_science_cultural_capital|CIE,agg_judicial_institutional_trust|JUS
agg_household_science_cultural_capital|CIE,agg_legal_cynicism_extrajudicial_justice|JUS
agg_household_science_cultural_capital|CIE,agg_police_trust_and_legitimacy|JUS
agg_household_science_cultural_capital|CIE,agg_law_compliance_motivation|JUS
agg_science_technology_self_efficacy|CIE,agg_environmental_problem_salience|MED
agg_science_technology_self_efficacy|CIE,agg_environmental_knowledge_self_efficacy|MED
agg_science_technology_self_efficacy|CIE,agg_pro_environmental_civic_engagement|MED
agg_science_technology_self_efficacy|CIE,agg_climate_change_risk_perception|MED
agg_science_technology_interest_engagement|CIE,agg_environmental_problem_salience|MED
agg_science_technology_interest_engagement|CIE,agg_environmental_knowledge_self_efficacy|MED
agg_science_technology_interest_engagement|CIE,agg_pro_environmental_civic_engagement|MED
agg_science_technology_interest_engagement|CIE,agg_climate_change_risk_perception|MED
agg_institutional_trust_in_science|CIE,agg_environmental_problem_salience|MED
agg_institutional_trust_in_science|CIE,agg_environmental_knowledge_self_efficacy|MED
agg_institutional_trust_in_science|CIE,agg_pro_environmental_civic_engagement|MED
agg_institutional_trust_in_science|CIE,agg_climate_change_risk_perception|MED
agg_perceived_societal_value_of_science_technology|CIE,agg_environmental_problem_salience|MED
agg_perceived_societal_value_of_science_technology|CIE,agg_environmental_knowledge_self_efficacy|MED
agg_perceived_societal_value_of_science_technology|CIE,agg_pro_environmental_civic_engagement|MED
agg_perceived_societal_value_of_science_technology|CIE,agg_climate_change_risk_perception|MED
agg_household_science_cultural_capital|CIE,agg_environmental_problem_salience|MED
agg_household_science_cultural_capital|CIE,agg_environmental_knowledge_self_efficacy|MED
agg_household_science_cultural_capital|CIE,agg_pro_environmental_civic_engagement|MED
agg_household_science_cultural_capital|CIE,agg_climate_change_risk_perception|MED
agg_science_technology_self_efficacy|CIE,agg_emigration_intention_likelihood|MIG
agg_science_technology_self_efficacy|CIE,agg_perceived_opportunity_structure|MIG
agg_science_technology_self_efficacy|CIE,agg_attitudes_toward_foreigners_in_mexico|MIG
agg_science_technology_interest_engagement|CIE,agg_emigration_intention_likelihood|MIG
agg_science_technology_interest_engagement|CIE,agg_perceived_opportunity_structure|MIG
agg_science_technology_interest_engagement|CIE,agg_attitudes_toward_foreigners_in_mexico|MIG
agg_institutional_trust_in_science|CIE,agg_emigration_intention_likelihood|MIG
agg_institutional_trust_in_science|CIE,agg_perceived_opportunity_structure|MIG
agg_institutional_trust_in_science|CIE,agg_attitudes_toward_foreigners_in_mexico|MIG
agg_perceived_societal_value_of_science_technology|CIE,agg_emigration_intention_likelihood|MIG
agg_perceived_societal_value_of_science_technology|CIE,agg_perceived_opportunity_structure|MIG
agg_perceived_societal_value_of_science_technology|CIE,agg_attitudes_toward_foreigners_in_mexico|MIG
agg_household_science_cultural_capital|CIE,agg_emigration_intention_likelihood|MIG
agg_household_science_cultural_capital|CIE,agg_perceived_opportunity_structure|MIG
agg_household_science_cultural_capital|CIE,agg_attitudes_toward_foreigners_in_mexico|MIG
agg_science_technology_self_efficacy|CIE,agg_perceived_situation_of_children_and_youth|NIN
agg_science_technology_self_efficacy|CIE,agg_children_rights_recognition_and_respect|NIN
agg_science_technology_self_efficacy|CIE,agg_youth_participation_and_voice|NIN
agg_science_technology_self_efficacy|CIE,agg_youth_educational_opportunity_and_labor_prospects|NIN
agg_science_technology_interest_engagement|CIE,agg_perceived_situation_of_children_and_youth|NIN
agg_science_technology_interest_engagement|CIE,agg_children_rights_recognition_and_respect|NIN
agg_science_technology_interest_engagement|CIE,agg_youth_participation_and_voice|NIN
agg_science_technology_interest_engagement|CIE,agg_youth_educational_opportunity_and_labor_prospects|NIN
agg_institutional_trust_in_science|CIE,agg_perceived_situation_of_children_and_youth|NIN
agg_institutional_trust_in_science|CIE,agg_children_rights_recognition_and_respect|NIN
agg_institutional_trust_in_science|CIE,agg_youth_participation_and_voice|NIN
agg_institutional_trust_in_science|CIE,agg_youth_educational_opportunity_and_labor_prospects|NIN
agg_perceived_societal_value_of_science_technology|CIE,agg_perceived_situation_of_children_and_youth|NIN
agg_perceived_societal_value_of_science_technology|CIE,agg_children_rights_recognition_and_respect|NIN
agg_perceived_societal_value_of_science_technology|CIE,agg_youth_participation_and_voice|NIN
agg_perceived_societal_value_of_science_technology|CIE,agg_youth_educational_opportunity_and_labor_prospects|NIN
agg_household_science_cultural_capital|CIE,agg_perceived_situation_of_children_and_youth|NIN
agg_household_science_cultural_capital|CIE,agg_children_rights_recognition_and_respect|NIN
agg_household_science_cultural_capital|CIE,agg_youth_participation_and_voice|NIN
agg_household_science_cultural_capital|CIE,agg_youth_educational_opportunity_and_labor_prospects|NIN
agg_science_technology_self_efficacy|CIE,agg_intergenerational_mobility_perception|POB
agg_science_technology_self_efficacy|CIE,agg_social_policy_preferences|POB
agg_science_technology_self_efficacy|CIE,agg_subjective_economic_wellbeing_and_agency|POB
agg_science_technology_interest_engagement|CIE,agg_intergenerational_mobility_perception|POB
agg_science_technology_interest_engagement|CIE,agg_social_policy_preferences|POB
agg_science_technology_interest_engagement|CIE,agg_subjective_economic_wellbeing_and_agency|POB
agg_institutional_trust_in_science|CIE,agg_intergenerational_mobility_perception|POB
agg_institutional_trust_in_science|CIE,agg_social_policy_preferences|POB
agg_institutional_trust_in_science|CIE,agg_subjective_economic_wellbeing_and_agency|POB
agg_perceived_societal_value_of_science_technology|CIE,agg_intergenerational_mobility_perception|POB
agg_perceived_societal_value_of_science_technology|CIE,agg_social_policy_preferences|POB
agg_perceived_societal_value_of_science_technology|CIE,agg_subjective_economic_wellbeing_and_agency|POB
